Sample_Name,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,characteristics_ch1.3,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,data_processing.1,data_processing.2,platform_id,contact_name,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,supplementary_file,supplementary_file.1,data_row_count,cell line:ch1,cosmic_id:ch1,primary histology:ch1,primary site:ch1,Sample_Plate,Sample_Group,Pool_ID,Project,Sample_Well,Basename,filenames,Purity_Impute_Absolute,Gains,Amp,HetLoss,HomDel,Amp10
A101D,CellLine_A101D,GSM1669576,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,A101D,Homo sapiens,cell line: A101D,primary site: skin,primary histology: melanoma,cosmic_id: 910921,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669576/suppl/GSM1669576_8221932075_R04C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669576/suppl/GSM1669576_8221932075_R04C01_Red.idat.gz,0,A101D,910921,melanoma,skin,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669576_8221932075_R04C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669576/GSM1669576_8221932075_R04C01,0.639280333333333,CDK6;ARPC1A;DNMT3B;EEF1A2;EGFR;ETV1;MET;PIK3CG;SMURF1;PTK6;AURKA;YWHAB;ZNF217;NCOA3,"","",CDKN2A;CDKN2B;PTEN,""
A204,CellLine_A204,GSM1669578,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,A204,Homo sapiens,cell line: A204,primary site: soft_tissue,primary histology: rhabdomyosarcoma,cosmic_id: 910784,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669578/suppl/GSM1669578_8359018112_R02C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669578/suppl/GSM1669578_8359018112_R02C01_Red.idat.gz,0,A204,910784,rhabdomyosarcoma,soft_tissue,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669578_8359018112_R02C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669578/GSM1669578_8359018112_R02C01,0.629548166666667,"","",FGFR1,"",""
A2058,CellLine_A2058,GSM1669579,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,A2058,Homo sapiens,cell line: A2058,primary site: skin,primary histology: melanoma,cosmic_id: 906792,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669579/suppl/GSM1669579_8221932075_R04C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669579/suppl/GSM1669579_8221932075_R04C02_Red.idat.gz,0,A2058,906792,melanoma,skin,,Tumor,,,,8221932075_R04C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669579/GSM1669579_8221932075_R04C02,0.6558755,AKT3;CDK6;TRIB1;ADAR;ARPC1A;CKS1B;E2F3;EGFR;ETV1;MDM4;MET;MYC;PIK3CG;SMURF1;RB1;RPS6KB1;SHC1;SKP2;SOX4;BRCA2;TFDP1;YWHAZ;PPM1D;MTDH;CHD1L;SETDB1,"","",CDKN2A,""
A253,CellLine_A253,GSM1669580,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,A253,Homo sapiens,cell line: A253,primary site: aero_digestive_tract,primary histology: head and neck,cosmic_id: 906794,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669580/suppl/GSM1669580_8221924003_R06C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669580/suppl/GSM1669580_8221924003_R06C01_Red.idat.gz,0,A253,906794,head and neck,aero_digestive_tract,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669580_8221924003_R06C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669580/GSM1669580_8221924003_R06C01,0.794696000000001,CDK6;TRIB1;ARPC1A;DNMT3B;EEF1A2;EGFR;EIF2S1;ETV1;GATA6;CD274;MET;MYC;PAFAH1B1;RAB23;PIK3CA;PIK3CG;DCUN1D1;EIF5A2;SMURF1;PTK6;SKP2;SOX2;AURKA;YWHAB;YWHAZ;ZNF217;NCOA3;EIF2A;PLA2G10,CCND1;FADD,AKT3;CDKN2A;CDKN2B;PIK3CD,"",""
A2780,CellLine_A2780,GSM1669581,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,A2780,Homo sapiens,cell line: A2780,primary site: urogenital_system,primary histology: ovary,cosmic_id: 906804,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669581/suppl/GSM1669581_7970376038_R04C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669581/suppl/GSM1669581_7970376038_R04C02_Red.idat.gz,0,A2780,906804,ovary,urogenital_system,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669581_7970376038_R04C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669581/GSM1669581_7970376038_R04C02,0.633019166666666,ADAR;CKS1B;MDM4;SHC1;CHD1L;SETDB1,"",AKT3;MAP3K5;MYB;LINC00290,"",""
A375,CellLine_A375,GSM1669582,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,A375,Homo sapiens,cell line: A375,primary site: skin,primary histology: melanoma,cosmic_id: 906793,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669582/suppl/GSM1669582_8221932074_R05C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669582/suppl/GSM1669582_8221932074_R05C01_Red.idat.gz,0,A375,906793,melanoma,skin,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669582_8221932074_R05C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669582/GSM1669582_8221932074_R05C01,0.657477666666666,AKT3;ADAR;CKS1B;EEF1A2;CD274;MDM4;PKN1;PTK6;SHC1;AURKA;TFDP1;YWHAB;ZNF217;NCOA3;CHD1L;SETDB1,"","",CDKN2A;CDKN2B,""
A704,CellLine_A704,GSM1669591,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,A704,Homo sapiens,cell line: A704,primary site: kidney,primary histology: kidney,cosmic_id: 910920,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669591/suppl/GSM1669591_8221924116_R01C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669591/suppl/GSM1669591_8221924116_R01C02_Red.idat.gz,0,A704,910920,kidney,kidney,,Tumor,,,,8221924116_R01C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669591/GSM1669591_8221924116_R01C02,0.712140333333333,CDK4;CDK6;ARPC1A;EGFR;ETV1;KRAS;MDM2;MET;MYC;PIK3CG;SMURF1;YEATS4;PLA2G10;DYRK2;CCND2,"",BCL2L2-PABPN1;CDKN2A;CDKN2B;EIF2S1;FANCD2;NKX2-8;CD274;MAP3K5;MITF;MYB;PAX9;NKX2-1;VHL,E2F3,""
ABC1,CellLine_ABC-1,GSM1669592,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,ABC-1,Homo sapiens,cell line: ABC-1,primary site: lung,primary histology: lung_NSCLC_adenocarcinoma,cosmic_id: 906791,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669592/suppl/GSM1669592_8359026011_R05C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669592/suppl/GSM1669592_8359026011_R05C02_Red.idat.gz,0,ABC-1,906791,lung_NSCLC_adenocarcinoma,lung,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669592_8359026011_R05C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669592/GSM1669592_8359026011_R05C02,0.819201000000001,AKT3;CDK4;TRIB1;ADAR;YAP1;YWHAQ;CKS1B;EEF1A2;EGFR;ETV1;FAT1;BIRC2;BIRC3;MDM2;MDM4;MYC;MYCN;PAFAH1B1;PIK3CA;PIK3CB;DCUN1D1;MED29;EIF5A2;PTEN;PTK6;REL;SHC1;SOX2;AURKA;LINC00290;YWHAB;ZNF217;TET1;YEATS4;NCOA3;EIF2A;DYRK2;RUVBL1;CHD1L;SETDB1,SKP2,BCL2L2-PABPN1;CDKN2A;CDKN2B;CD274;PLA2G10,TFDP1,""
AGS,CellLine_AGS,GSM1669595,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,AGS,Homo sapiens,cell line: AGS,primary site: digestive_system,primary histology: stomach,cosmic_id: 906790,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669595/suppl/GSM1669595_8221924119_R06C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669595/suppl/GSM1669595_8221924119_R06C02_Red.idat.gz,0,AGS,906790,stomach,digestive_system,,Tumor,,,,8221924119_R06C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669595/GSM1669595_8221924119_R06C02,0.788054000000001,AKT3;BCL2L2-PABPN1;ADAR;CKS1B;DNMT3B;E2F3;EEF1A2;EIF2S1;NKX2-8;MDM4;PAX9;MED29;PTK6;SHC1;AURKA;NKX2-1;YWHAB;ZNF217;NCOA3;CCNE1;CHD1L;SETDB1,"",CCND2,"",""
AMO1,CellLine_AMO-1,GSM1669599,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,AMO-1,Homo sapiens,cell line: AMO-1,primary site: blood,primary histology: haematopoietic_neoplasm other,cosmic_id: 1295741,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669599/suppl/GSM1669599_7878191035_R05C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669599/suppl/GSM1669599_7878191035_R05C01_Red.idat.gz,0,AMO-1,1295741,haematopoietic_neoplasm other,blood,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669599_7878191035_R05C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669599/GSM1669599_7878191035_R05C01,0.623966333333333,CDK4;ADAR;CKS1B;MDM2;RPS6KB1;SHC1;SKP2;TFDP1;YEATS4;DYRK2;PPM1D;CCND2,KRAS;MYCN;CHD1L,NKX2-8;NRAS;PAX9;PIK3CA;NKX2-1,"",YWHAQ;SETDB1
