"x" "TCGA_ID"
"1" "TCGA-AO-A125-01A-11D-A10N-05"
"2" "TCGA-AR-A24M-01A-11D-A16A-05"
"3" "TCGA-AR-A24O-01A-11D-A16A-05"
"4" "TCGA-AR-A24X-01A-11D-A16A-05"
"5" "TCGA-AR-A2LL-01A-11D-A17Z-05"
"6" "TCGA-AR-A5QQ-01A-11D-A28C-05"
"7" "TCGA-B6-A0WX-01A-11D-A10A-05"
"8" "TCGA-BH-A1EN-01A-11D-A13K-05"
"9" "TCGA-C8-A8HP-01A-11D-A36K-05"
"10" "TCGA-D8-A1JS-01A-11D-A13K-05"
"11" "TCGA-D8-A73X-01A-11D-A32T-05"
"12" "TCGA-E9-A1N5-01A-11D-A14H-05"
"13" "TCGA-E9-A1NF-01A-11D-A14H-05"
"14" "TCGA-E9-A5UP-01A-11D-A28C-05"
"15" "TCGA-EW-A2FV-01A-11D-A17F-05"
"16" "TCGA-BL-A0C8-01A-11D-A10W-05"
"17" "TCGA-BL-A0C8-01A-11D-A276-05"
"18" "TCGA-BL-A0C8-01B-04D-A276-05"
"19" "TCGA-BL-A13I-01A-11D-A13Z-05"
"20" "TCGA-BL-A13I-01A-11D-A276-05"
"21" "TCGA-BL-A13I-01B-04D-A276-05"
"22" "TCGA-BL-A13J-01A-11D-A10W-05"
"23" "TCGA-BL-A13J-01A-11D-A276-05"
"24" "TCGA-BL-A13J-01B-04D-A276-05"
"25" "TCGA-BL-A3JM-01A-12D-A21B-05"
"26" "TCGA-BL-A5ZZ-01A-31D-A30F-05"
"27" "TCGA-BT-A0S7-01A-11D-A10W-05"
"28" "TCGA-C4-A0EZ-01A-21D-A10W-05"
"29" "TCGA-C4-A0F0-01A-12D-A10W-05"
"30" "TCGA-C4-A0F1-01A-11D-A10W-05"
"31" "TCGA-C4-A0F6-01A-11D-A10W-05"
"32" "TCGA-C4-A0F7-01A-11D-A10W-05"
"33" "TCGA-FU-A23K-01A-11D-A16P-05"
"34" "TCGA-FU-A23L-01A-11D-A16P-05"
"35" "TCGA-FU-A2QG-01A-11D-A18K-05"
"36" "TCGA-FU-A3HY-01A-11D-A21R-05"
"37" "TCGA-FU-A3HZ-01A-11D-A212-05"
"38" "TCGA-FU-A3NI-01A-11D-A21R-05"
"39" "TCGA-FU-A3TQ-01A-11D-A230-05"
"40" "TCGA-FU-A3TX-01A-11D-A230-05"
"41" "TCGA-FU-A3WB-01A-11D-A230-05"
"42" "TCGA-FU-A3YQ-01A-11D-A230-05"
"43" "TCGA-FU-A5XV-01A-11D-A28C-05"
"44" "TCGA-HG-A2PA-01A-11D-A212-05"
"45" "TCGA-HM-A3JJ-01A-21D-A21R-05"
"46" "TCGA-HM-A3JK-01A-11D-A21R-05"
"47" "TCGA-HM-A4S6-01A-11D-A26S-05"
"48" "TCGA-CQ-5329-01A-01D-1684-05"
"49" "TCGA-CQ-5330-01A-01D-1684-05"
"50" "TCGA-CQ-5331-01A-02D-1871-05"
"51" "TCGA-CQ-5332-01A-01D-1684-05"
"52" "TCGA-CQ-5333-01A-01D-2398-05"
"53" "TCGA-CQ-5334-01A-01D-1684-05"
"54" "TCGA-CQ-6218-01A-11D-1913-05"
"55" "TCGA-CQ-6219-01A-11D-1913-05"
"56" "TCGA-CQ-6220-01A-11D-1913-05"
"57" "TCGA-CQ-6222-01A-11D-1913-05"
"58" "TCGA-CQ-6223-01A-11D-1913-05"
"59" "TCGA-CQ-6224-01A-11D-1913-05"
"60" "TCGA-CQ-6225-01A-11D-1913-05"
"61" "TCGA-CQ-6227-01A-11D-1913-05"
"62" "TCGA-CQ-6228-01A-11D-1913-05"
"63" "TCGA-63-A5M9-01A-11D-A26N-05"
"64" "TCGA-63-A5MB-01A-11D-A26N-05"
"65" "TCGA-63-A5MG-01A-12D-A27L-05"
"66" "TCGA-63-A5MH-01A-12D-A27L-05"
"67" "TCGA-63-A5MI-01A-12D-A27L-05"
"68" "TCGA-63-A5MJ-01A-11D-A27L-05"
"69" "TCGA-63-A5ML-01A-31D-A27L-05"
"70" "TCGA-63-A5MM-01A-11D-A26N-05"
"71" "TCGA-63-A5MN-01A-22D-A27L-05"
"72" "TCGA-63-A5MP-01A-11D-A26N-05"
"73" "TCGA-63-A5MR-01A-31D-A27L-05"
"74" "TCGA-63-A5MS-01A-11D-A26N-05"
"75" "TCGA-63-A5MT-01A-21D-A26N-05"
"76" "TCGA-63-A5MU-01A-11D-A26N-05"
"77" "TCGA-63-A5MV-01A-21D-A26N-05"
"78" "TCGA-G9-6499-01A-12D-1963-05"
"79" "TCGA-G9-7510-01A-11D-2261-05"
"80" "TCGA-G9-7519-01A-11D-2261-05"
"81" "TCGA-G9-7521-01A-11D-2261-05"
"82" "TCGA-G9-7522-01A-11D-2261-05"
"83" "TCGA-G9-7523-01A-11D-2261-05"
"84" "TCGA-G9-7525-01A-31D-2261-05"
"85" "TCGA-H9-7775-01A-11D-2116-05"
"86" "TCGA-HC-7075-01A-11D-1963-05"
"87" "TCGA-HC-7077-01A-11D-1963-05"
"88" "TCGA-HC-7078-01A-11D-2116-05"
"89" "TCGA-HC-7079-01A-11D-1963-05"
"90" "TCGA-HC-7080-01A-11D-1963-05"
"91" "TCGA-HC-7081-01A-11D-1963-05"
"92" "TCGA-HC-7209-01A-11D-2116-05"
"93" "TCGA-BR-6456-01A-11D-1801-05"
"94" "TCGA-BR-6457-01A-21D-1801-05"
"95" "TCGA-BR-6458-01A-11D-1801-05"
"96" "TCGA-BR-6563-01A-13D-2054-05"
"97" "TCGA-BR-6565-01A-11D-1801-05"
"98" "TCGA-BR-6566-01A-11D-1801-05"
"99" "TCGA-BR-6705-01A-12D-1883-05"
"100" "TCGA-BR-6706-01A-11D-1883-05"
"101" "TCGA-BR-6707-01A-11D-1883-05"
"102" "TCGA-BR-6709-01A-11D-1883-05"
"103" "TCGA-BR-6710-01A-11D-1883-05"
"104" "TCGA-BR-6801-01A-11D-1883-05"
"105" "TCGA-BR-6802-01A-11D-1883-05"
"106" "TCGA-BR-6803-01A-11D-1883-05"
"107" "TCGA-BR-6852-01A-11D-1883-05"
"108" "TCGA-AX-A3FW-01A-11D-A22B-05"
"109" "TCGA-AX-A3FX-01A-11D-A22B-05"
"110" "TCGA-AX-A3FZ-01A-11D-A22B-05"
"111" "TCGA-AX-A3G1-01A-11D-A22B-05"
"112" "TCGA-AX-A3G8-01A-11D-A22B-05"
"113" "TCGA-AX-A3G9-01A-11D-A22B-05"
"114" "TCGA-AX-A3GB-01A-11D-A22B-05"
"115" "TCGA-B5-A0JX-01A-21D-A14N-05"
"116" "TCGA-B5-A0KB-01B-11D-A14H-05"
"117" "TCGA-B5-A11E-01A-11D-A10N-05"
"118" "TCGA-B5-A11I-01A-11D-A10N-05"
"119" "TCGA-B5-A11P-01B-11D-A14H-05"
"120" "TCGA-B5-A11R-01A-11D-A123-05"
"121" "TCGA-B5-A11U-01A-11D-A123-05"
"122" "TCGA-B5-A11X-01A-11D-A10N-05"
"123" "TCGA-B8-5545-01A-01D-1670-05"
"124" "TCGA-B8-5546-01A-01D-1536-05"
"125" "TCGA-B8-5549-01A-01D-1536-05"
"126" "TCGA-B8-5550-01A-01D-1536-05"
"127" "TCGA-B8-5551-01A-01D-1536-05"
"128" "TCGA-B8-5552-01B-11D-1670-05"
"129" "TCGA-B8-5553-01A-01D-1536-05"
"130" "TCGA-B8-A54D-01A-21D-A264-05"
"131" "TCGA-B8-A54E-01A-11D-A264-05"
"132" "TCGA-B8-A54F-01A-11D-A264-05"
"133" "TCGA-B8-A54G-01A-11D-A264-05"
"134" "TCGA-BP-4177-01A-02D-1418-05"
"135" "TCGA-BP-4760-01A-02D-1418-05"
"136" "TCGA-BP-4770-01A-01D-1500-05"
"137" "TCGA-BP-4782-01A-02D-1418-05"
"138" "TCGA-DB-A64U-01A-11D-A29T-05"
"139" "TCGA-DU-5853-01A-11D-1894-05"
"140" "TCGA-DU-6395-01A-12D-1706-05"
"141" "TCGA-DU-7015-01A-11D-2025-05"
"142" "TCGA-DU-7019-01A-11D-2025-05"
"143" "TCGA-DU-7306-01A-11D-2087-05"
"144" "TCGA-DU-8166-01A-11D-2254-05"
"145" "TCGA-DU-8167-01A-11D-2254-05"
"146" "TCGA-DU-A5TR-01A-11D-A28N-05"
"147" "TCGA-E1-5322-01A-01D-1467-05"
"148" "TCGA-FG-5965-01B-11D-1894-05"
"149" "TCGA-FG-7637-01A-11D-2087-05"
"150" "TCGA-FG-7643-01A-11D-2087-05"
"151" "TCGA-ED-A459-01A-11D-A264-05"
"152" "TCGA-ED-A4XI-01A-11D-A264-05"
"153" "TCGA-ED-A5KG-01A-11D-A27W-05"
"154" "TCGA-ED-A627-01A-12D-A30Y-05"
"155" "TCGA-ED-A66X-01A-11D-A30Y-05"
"156" "TCGA-ED-A66Y-01A-11D-A30Y-05"
"157" "TCGA-ED-A7PX-01A-51D-A356-05"
"158" "TCGA-ED-A7PY-01A-11D-A341-05"
"159" "TCGA-ED-A7PZ-01A-11D-A341-05"
"160" "TCGA-ED-A7XO-01A-11D-A356-05"
"161" "TCGA-ED-A7XP-01A-11D-A356-05"
"162" "TCGA-ED-A82E-01A-11D-A356-05"
"163" "TCGA-ED-A8O5-01A-11D-A369-05"
"164" "TCGA-ED-A8O6-01A-11D-A369-05"
"165" "TCGA-EP-A12J-01A-11D-A132-05"
"166" "TCGA-44-6144-01A-11D-1756-05"
"167" "TCGA-44-6147-01A-11D-1756-05"
"168" "TCGA-44-6147-01A-11D-A276-05"
"169" "TCGA-44-6147-01B-06D-A276-05"
"170" "TCGA-44-6774-01A-21D-1856-05"
"171" "TCGA-44-6775-01A-11D-1856-05"
"172" "TCGA-44-6775-01A-11D-A276-05"
"173" "TCGA-44-6775-01C-02D-A276-05"
"174" "TCGA-44-6776-01A-11D-1856-05"
"175" "TCGA-44-6778-01A-11D-1856-05"
"176" "TCGA-44-6779-01A-11D-1856-05"
"177" "TCGA-44-7659-01A-11D-2064-05"
"178" "TCGA-44-7660-01A-11D-2064-05"
"179" "TCGA-44-7661-01A-11D-2064-05"
"180" "TCGA-44-7662-01A-11D-2064-05"
"181" "TCGA-WB-A81W-01A-11D-A35J-05"
"182" "TCGA-WB-A820-01A-11D-A35J-05"
"183" "TCGA-WB-A821-01A-11D-A35J-05"
"184" "TCGA-WB-A822-01A-11D-A35J-05"
"185" "TCGA-06-A6S0-01A-11D-A33U-05"
"186" "TCGA-06-A6S1-01A-11D-A33U-05"
"187" "TCGA-06-A7TK-01A-21D-A392-05"
"188" "TCGA-06-A7TL-01A-11D-A392-05"
"189" "TCGA-14-0736-01A-01D-A45W-05"
"190" "TCGA-14-1402-01A-01D-A45W-05"
"191" "TCGA-19-0957-01C-01D-A45W-05"
"192" "TCGA-19-1389-01A-01D-A45W-05"
"193" "TCGA-19-A60I-01A-12D-A33U-05"
"194" "TCGA-19-A6J4-01A-11D-A33U-05"
"195" "TCGA-19-A6J5-01A-21D-A33U-05"
"196" "TCGA-26-A7UX-01B-11D-A392-05"
"197" "TCGA-4W-AA9R-01A-11D-A392-05"
"198" "TCGA-4W-AA9S-01A-11D-A392-05"
"199" "TCGA-4W-AA9T-01A-11D-A392-05"
"200" "TCGA-A1-A0SF-01A-11D-A145-05"
"201" "TCGA-A1-A0SJ-01A-11D-A10P-05"
"202" "TCGA-A1-A0SK-01A-12D-A10P-05"
"203" "TCGA-A1-A0SO-01A-22D-A10P-05"
"204" "TCGA-A2-A25B-01A-11D-A16A-05"
"205" "TCGA-A2-A3KC-01A-11D-A212-05"
"206" "TCGA-A2-A3KD-01A-12D-A212-05"
"207" "TCGA-A2-A3XT-01A-11D-A230-05"
"208" "TCGA-A2-A3XX-01A-21D-A23D-05"
"209" "TCGA-A2-A3XZ-01A-42D-A23D-05"
